milestone,commit,gate,result,next decision,model generation occurred,optimizer steps occurred,GSM1K evaluation occurred,sealed-final content accessed
6D,fa696d692b1af49afc3966db9f151e65e917ee06,"exact capacity","failed","permit bounded reuse",false,false,false,false
6E,0e5f6d221f2eb10a4bf93fcb264c629878829e34,"latent capacity","failed","reduce scope",false,false,false,false
7A,7978960d38552421370ecca1e013d825ebd1de40,"target-compatible capacity","failed","build feasible allocator",false,false,false,false
7B,23c2cdb5ab2a931df6b711b1f3fc571c748035c3,"review-smoke identity","failed","integrate runtime identity",false,false,false,false
7C,8653980c25ab1d03c35adf52e9c73f4814ddc2c4,"runtime-exact schedule","failed","calibrate surfaces",false,false,false,false
7D,bfdbd4a89d29f8cdccde5eaca0517af397e8a289,"corrected compatibility","failed","adjust difficulty",false,false,false,false
7E,6a5554050d7dad5ef4a268b2008d532732f09088,"complete schedule","failed","test multipliers",false,false,false,false
7F,b66290b633fac4434e680be3b9180966950e0ee9,"multiplier preflight","failed","reduce pool",false,false,false,false
7G,a005dda6bf42d09b53a3d50e30cc7fc5a1d90654,"size preflight","failed","fast-track matched templates",false,false,false,false
8A,021517438e62210bc37a783269f4b7f367570745,"dataset and contamination","passed: 500 + 500","validate QLoRA",false,false,false,false
8B,6d2b96e845870ed5c56cfbb3ba115cbd311d0e71,"32-step QLoRA smoke","passed","train matched adapters",true,true,false,false
8C,9ac4202c7e2a0271a4c88d5202d21188250a6b6b,"training-token parity","failed","freeze token matching",false,true,false,false
8D-protocol,02a7a3f16bd7ee4afa75b59b034e7e3c13c26238,"Method B smoke","passed","run full comparison",false,true,false,false
8D,911b48106a80c950e4e0f0f334073c8b224c7b44,"one-seed signal","failed with shared collapse","diagnose masking",true,true,true,false
8E,b2c02fffefba690c7d49236e4d291ec7e79ef89f,"assistant-only retention","failed","build adaptation ladder",true,true,false,false
8F-8H,31105ba982cc17370d2c2a453bfb442835711b56,"disjoint retention validation","failed","design powered instruments",true,true,false,false
8I-8K,d22044883457e194d02a9dd769d9b75010eca0b9,"untouched-base instrument","failed","use base conditioning",true,false,false,false
8L,9af1840792037e5b7b5f91366536554668acf9bf,"base-conditioned retention","failed","test runtime scaling",true,false,false,false
8M-retention,2a69bca54b8e90b88d51b91e2ea347f221722e5c,"common scale retention","passed at 0.50","run development comparison",true,false,false,false
8M,0b6cbe350b6065317fe06aa93b48502ee4e57c56,"absolute signal","failed; targeted beat generic only","test task vector",true,false,true,false
8N,08ae1a2763e5a054972231c0817b6ff8e35fc076,"contrastive retention","failed","investigate replay",true,false,false,false
9,a0438698e37bdb4f0e4216225eb0d9b8f6c2dc8b,"independent holdout base gate","failed","design verifier GRPO",true,false,false,false
10,a5f3af31bc05c25871934259c6d17e3ed47b704a,"GRPO compatibility","failed during first generation","audit warning-only replay",true,false,false,false
10E,8f67e46262b7edafc57861aaf185efa345228179,"exact generation replay","failed source-bound contract","use immutable worktree",true,false,false,false
10G-runtime,b647a3dcadcab941359fbecab2b11c8f9f63cb8d,"runtime-root separation","passed","rerun immutable replay",false,false,false,false
10G,ccbc88797441159f892bed28a336b625fc2ccab4,"immutable replay","failed closed","standardize environment",true,false,false,false
10H-environment,2254b22aa10c9f024eebd56c1f1b98b9a3cf16ab,"launch environment","passed","run V3 replay",false,false,false,false
10H,e472a57d49fd0cfe074a9cf957b89cb15bd34cd3,"NVML preflight","failed before model load","replace preflight",false,false,false,false
10I-CUDA,a13c31b43a72c3bec205e440aaf7c424ac487d47,"child CUDA compute","passed","run V4 replay",false,false,false,false
10I,47bbe91e7bc0367be9abec68bfe113b4787c5d43,"replay then two-step warning audit","replay passed; smoke failed","audit warnings",true,false,false,false
10J,20409ba41dc99bb1e6300b53d9ad9b3db1431722,"immutable warning classification","failed closed; 0 optimizer steps","close Phase 1",false,false,false,false
